------- CAN Read ----------
ID  DLC   DATA
606 8 0 0 0 0 0 0 0 0 
605 8 50 42 86 3E 0 0 0 0 
604 8 0 46 B4 3E 80 31 2D 3E 
603 8 0 0 0 0 0 0 0 0 
602 8 D AF 3 43 0 0 0 0 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 94 61 93 82 93 C9 
701 6 17 13 14 3C 13 0 
702 8 0 2 5 2C 33 B9 9E 43 
700 6 94 61 93 78 93 CB 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
701 6 17 13 14 3C 13 0 
702 8 0 2 5 2C 33 BA 9E 43 
601 8 0 0 0 0 5 0 0 0 
607 8 0 0 0 0 0 0 0 0 
606 8 0 0 0 0 0 0 0 0 
605 8 30 53 8B 3E 0 0 0 0 
604 8 20 6B 8D 3E 0 0 48 3E 
603 8 0 0 0 0 0 0 0 0 
602 8 5 AD 3 43 0 0 0 0 
700 6 94 61 93 78 93 CB 
701 6 17 13 14 3C 13 0 
702 8 0 3 5 2C 33 BA 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 94 61 93 78 93 CB 
701 6 17 13 14 3C 13 0 
702 8 0 3 5 2C 33 BA 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
601 8 0 0 0 0 5 0 0 0 
607 8 0 0 0 0 0 0 0 0 
606 8 0 0 0 0 0 0 0 0 
605 8 D0 CB 86 3E 0 0 0 0 
604 8 20 6B 8D 3E 40 6E D 3E 
603 8 0 0 0 0 0 0 0 0 
602 8 94 AF 3 43 0 0 0 0 
700 6 94 61 93 82 93 CA 
701 6 17 13 14 3C 13 0 
702 8 0 3 5 2C 33 B9 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 94 52 93 78 93 C9 
701 6 17 13 14 3C 13 0 
702 8 0 3 5 2C 33 B9 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
601 8 0 0 0 0 5 0 0 0 
607 8 0 0 0 0 0 0 0 0 
606 8 0 0 0 0 0 0 0 0 
605 8 B0 83 85 3E 0 0 0 0 
604 8 0 0 48 3E 40 F2 74 3E 
603 8 0 0 0 0 0 0 0 0 
602 8 32 AC 3 43 0 0 0 0 
700 6 94 52 93 82 93 C9 
701 6 17 13 14 3C 13 0 
702 8 0 3 5 2C 33 B9 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 94 61 93 78 93 CC 
701 6 17 13 14 3C 13 0 
702 8 0 3 5 2C 33 BA 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
601 8 0 0 0 0 5 0 0 0 
60E 8 0 AC AA 3C 0 0 0 0 
60D 8 AF AB 98 C1 AF AB 98 C1 
60C 8 50 3A E9 41 50 B4 B3 41 
60A 8 0 0 0 0 0 0 0 0 
609 8 BA 83 9B 3F CE E3 1F 40 
607 8 0 0 0 0 0 0 0 0 
605 8 40 86 89 3E 0 0 0 0 
603 8 0 0 0 0 0 0 0 0 
600 8 54 52 49 61 76 8 0 0 
60B 8 25 94 EC 43 50 62 AE 41 
700 6 94 61 93 82 93 CB 
701 6 17 13 14 3C 13 0 
702 8 0 3 5 2C 33 BA 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 94 61 93 73 93 CA 
701 6 17 13 14 3C 13 0 
702 8 0 3 5 2C 33 B9 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
601 8 0 0 0 0 5 0 0 0 
607 8 0 0 0 0 0 0 0 0 
606 8 0 0 0 0 0 0 0 0 
605 8 A0 94 84 3E 0 0 0 0 
604 8 0 46 B4 3E 20 6B 8D 3E 
603 8 0 0 0 0 0 0 0 0 
602 8 B4 AB 3 43 0 0 0 0 
700 6 94 52 93 78 93 C9 
701 6 17 13 14 3C 13 0 
702 8 0 2 5 2C 33 B9 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 94 61 93 78 93 C9 
701 6 17 13 14 3C 13 0 
702 8 0 3 5 2C 33 B9 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
601 8 0 0 0 0 5 0 0 0 
607 8 0 0 0 0 0 0 0 0 
606 8 0 0 0 0 0 0 0 0 
605 8 40 AC 8B 3E 0 0 0 0 
604 8 A0 49 84 3E 0 0 48 3E 
603 8 0 0 0 0 0 0 0 0 
602 8 CF AA 3 43 0 0 0 0 
700 6 94 61 93 82 93 CA 
702 8 0 3 5 2C 33 BA 9E 43 
701 6 17 13 14 3C 13 0 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 94 61 93 82 93 CB 
701 6 17 13 14 3C 13 0 
702 8 0 3 5 2C 33 BA 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
601 8 0 0 0 0 5 0 0 0 
607 8 0 0 0 0 0 0 0 0 
606 8 0 0 0 0 0 0 0 0 
605 8 10 C7 8C 3E 0 0 0 0 
604 8 A0 49 84 3E 40 F2 74 3E 
603 8 0 0 0 0 0 0 0 0 
700 6 94 61 93 73 93 CA 
702 8 0 3 5 2C 33 B9 9E 43 
602 8 61 A9 3 43 0 0 0 0 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 94 52 93 82 93 C9 
701 6 17 13 14 3C 13 0 
702 8 0 3 5 2C 33 B9 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 94 61 93 78 93 C9 
701 6 17 13 14 3C 13 0 
702 8 0 3 5 2C 33 B9 9E 43 
601 8 0 0 0 0 5 0 0 0 
607 8 0 0 0 0 0 0 0 0 
606 8 0 0 0 0 0 0 0 0 
605 8 80 47 88 3E 0 0 0 0 
603 8 0 0 0 0 0 0 0 0 
602 8 C8 A9 3 43 0 0 0 0 
604 8 0 46 B4 3E 20 6B 8D 3E 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 94 61 93 82 93 C9 
701 6 17 13 14 3C 13 0 
702 8 0 3 5 2C 33 B9 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 94 61 93 82 93 CB 
701 6 17 13 14 3C 13 0 
702 8 0 2 5 2C 33 BA 9E 43 
601 8 0 0 0 0 5 0 0 0 
60E 8 0 AC AA 3C 0 0 0 0 
60B 8 25 94 EC 43 50 B6 AE 41 
60A 8 0 0 0 0 0 0 0 0 
609 8 4E 86 9B 3F A7 E5 1F 40 
607 8 0 0 0 0 0 0 0 0 
606 8 0 0 0 0 0 0 0 0 
603 8 0 0 0 0 0 0 0 0 
600 8 54 52 49 61 76 8 0 0 
608 8 AD 1C D3 3F B5 3 6D 41 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 94 61 93 78 93 C9 
701 6 17 13 14 3C 13 0 
702 8 0 3 5 2C 33 B9 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 94 61 93 82 93 CB 
701 6 17 13 14 3C 13 0 
702 8 0 2 5 2C 33 BA 9E 43 
601 8 0 0 0 0 5 0 0 0 
607 8 0 0 0 0 0 0 0 0 
606 8 0 0 0 0 0 0 0 0 
605 8 E0 94 85 3E 0 0 0 0 
