------- CAN Read ----------
ID  DLC   DATA
607 8 0 0 0 0 0 0 0 0 
606 8 0 0 0 0 0 0 0 0 
603 8 0 0 0 0 0 0 0 0 
602 8 55 3A 4 43 0 0 0 0 
700 6 95 6 94 9 94 77 
702 8 0 2 5 32 33 F6 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
605 8 20 FE 81 3E 0 0 0 0 
700 6 95 6 93 FA 94 77 
701 6 10 E F 3C E 0 
702 8 0 3 5 32 33 F6 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
601 8 0 0 0 0 5 0 0 0 
60E 8 0 AC AA 3C 0 0 0 0 
60B 8 25 94 EC 43 A0 88 75 41 
609 8 8F 81 9B 3F CC DA 1F 40 
600 8 54 52 49 61 76 8 0 0 
702 8 0 3 5 32 33 F6 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
60A 8 0 0 0 0 0 0 0 0 
700 6 95 6 93 FA 94 78 
701 6 10 E F 3C E 0 
702 8 0 2 5 32 33 F6 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
601 8 0 0 0 0 5 0 0 0 
607 8 0 0 0 0 0 0 0 0 
606 8 0 0 0 0 0 0 0 0 
605 8 70 51 84 3E 0 0 0 0 
602 8 53 37 4 43 0 0 0 0 
701 6 10 E F 3C E 0 
702 8 0 3 5 32 33 F6 9E 43 
604 8 0 0 96 3E 0 0 96 3E 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 95 6 93 FA 94 79 
701 6 10 E F 3C E 0 
702 8 0 3 5 32 33 F7 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
601 8 0 0 0 0 5 0 0 0 
607 8 0 0 0 0 0 0 0 0 
606 8 0 0 0 0 0 0 0 0 
605 8 B0 18 82 3E 0 0 0 0 
602 8 9F 3B 4 43 0 0 0 0 
702 8 0 3 5 32 33 F6 9E 43 
604 8 40 6E D 3E A0 49 84 3E 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 95 6 93 FA 94 79 
701 6 10 E F 3C E 0 
702 8 0 2 5 32 33 F7 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
601 8 0 0 0 0 5 0 0 0 
607 8 0 0 0 0 0 0 0 0 
606 8 0 0 0 0 0 0 0 0 
605 8 10 80 83 3E 0 0 0 0 
603 8 0 0 0 0 0 0 0 0 
702 8 0 1 5 32 33 F6 9E 43 
604 8 A0 49 84 3E 20 1E 9E 3E 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 95 6 94 9 94 77 
701 6 10 E F 3C E 0 
702 8 0 3 5 32 33 F6 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
601 8 0 0 0 0 5 0 0 0 
607 8 0 0 0 0 0 0 0 0 
606 8 0 0 0 0 0 0 0 0 
605 8 20 5C 83 3E 0 0 0 0 
603 8 0 0 0 0 0 0 0 0 
702 8 0 2 5 32 33 F6 9E 43 
604 8 40 F2 74 3E A0 49 84 3E 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 95 6 93 FA 94 78 
701 6 10 E F 3C E 0 
702 8 0 4 5 32 33 F6 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 95 6 93 FA 94 78 
701 6 10 E F 3C E 0 
702 8 0 2 5 32 33 F6 9E 43 
601 8 0 0 0 0 5 0 0 0 
60B 8 25 94 EC 43 A0 88 75 41 
600 8 54 52 49 61 76 8 0 0 
60E 8 0 AC AA 3C 0 0 0 0 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 95 6 93 FA 94 77 
701 6 10 E F 3C E 0 
702 8 0 3 5 32 33 F6 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 95 6 93 FA 94 77 
701 6 10 E F 3C E 0 
702 8 0 3 5 32 33 F6 9E 43 
601 8 0 0 0 0 5 0 0 0 
607 8 0 0 0 0 0 0 0 0 
602 8 CF 36 4 43 0 0 0 0 
606 8 0 0 0 0 0 0 0 0 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 95 6 94 9 94 77 
701 6 10 E F 3C E 0 
702 8 0 3 5 32 33 F6 9E 43 
501 8 0 0 0 0 0 0 0 0 
502 8 0 0 0 0 0 0 80 3F 
700 6 95 6 94 9 94 78 
701 6 10 E F 3C E 0 
702 8 0 3 5 32 33 F7 9E 43 
